1_elevation,1_slope,1_aspect,1_placurv,1_procurv,1_lsfactor,1_twi,1_geology,1_sdoif,Label
190,30.24626,30.96376,-0.01560065,-0.000781187,7.210099,3.705033,2,1.19533,0
153,28.3032,291.8014,0.006413131,0.01013594,8.321122,4.894509,3,1.275916,0
644,33.85452,116.565,0.01431081,0.04637767,7.887234,3.35912,3,1.332127,0
358,17.5484,341.5651,-0.01975646,-0.01058534,6.991499,7.498835,5,1.327014,0
416,19.82703,213.6901,-0.01359796,-0.000159365,4.531764,4.434499,3,1.288523,0
144,22.40687,345.9637,0.04938526,-0.01628468,5.636062,4.631936,3,1.277356,0
82,8.049467,135,-0.000808604,-0.01566295,2.204884,10.13256,3,1.28375,0
243,45,306.8699,-0.009937128,0.001663203,13.35695,4.043818,3,1.356238,0
328,50.57997,170.5377,-0.03545293,-0.005926467,17.25768,4.553875,3,1.364329,0
819,31.31116,279.4623,0.05388237,0.006815873,7.97315,3.962887,3,1.31869,0
409,42.67464,167.4712,-0.02713392,-0.003212758,13.51614,4.459129,3,1.327359,1
209,52.01483,38.65981,-0.08569344,-0.04395988,23.87829,5.995677,3,1.282379,1
45,11.30993,180,-0.00476367,-0.01185132,2.457389,5.524656,2,1.274097,0
233,32.31153,161.565,-0.00577213,0.01680607,9.004146,4.348958,3,1.316497,1
192,42.67464,77.47119,0.007731195,0.00882154,10.31245,3.106464,3,1.307385,1
126,48.74736,52.12502,-0.0191501,-0.02774626,12.36755,3.129379,7,1.318481,0
183,46.23402,286.6992,-0.02213967,-0.03029807,10.25317,2.541458,5,1.303324,0
79,26.56505,216.8699,0.001166164,-0.001165554,6.635542,4.21693,2,1.187597,0
106,31.31116,279.4623,0.006394924,-0.003635525,8.776636,4.442955,3,1.277858,0
182,22.40687,345.9637,-0.01391194,-0.008157147,7.189025,5.848786,3,1.306353,1
459,35.79576,326.3099,0.02033526,0.001737498,8.398213,3.284035,5,1.352052,0
278,17.5484,161.565,0.006046636,0.01601879,4.075819,4.800719,2,1.334132,0
269,19.82703,213.6901,0.03167612,0.00970571,3.737433,3.470938,3,1.304244,1
89,24.09484,243.435,0.04118083,0.01678669,5.285189,3.783386,5,1.358499,1
118,17.5484,251.565,-0.0257228,-0.001884016,5.002097,5.824646,5,1.287151,0
87,17.5484,341.5651,-0.003472471,0.00060687,4.337896,5.112307,1,1.288542,0
144,32.63194,51.34019,-0.007341223,0.04321036,6.514927,2.661547,2,1.352701,1
389,30.96376,90,-0.02678093,-0.02838996,11.48277,5.865665,3,1.369274,0
9,8.049467,315,-0.005638821,0.008503734,0.000224067,11.33493,5,1.305533,0
214,41.81031,333.4349,0.0063402,-0.01737291,10.48258,3.326574,3,1.367418,1
158,26.56505,36.8699,-0.004540299,-0.01476878,6.097166,3.793848,3,1.305795,1
310,38.87666,352.875,-0.02808874,-0.02156458,13.79887,5.196795,3,1.363127,0
32,36.05503,164.0546,0.003695648,0.02113223,9.550448,3.876762,1,1.246908,0
164,24.09484,296.5651,0.01009914,0.02852025,4.699481,3.196104,3,1.338049,0
90,40.70319,35.53768,-0.000921685,0.006438042,9.305193,2.913042,3,1.366444,1
414,45,216.8699,0.008618671,0.007929181,14.11265,4.318992,3,1.315477,0
34,26.56505,270,-0.03037285,-0.01376534,6.815379,4.350636,3,1.366516,1
30,17.5484,18.43495,-0.0124848,-0.02337488,6.152545,6.864696,5,1.35672,0
649,29.49621,135,0.02555079,0.01031347,7.654433,4.182514,3,1.344378,0
228,36.05503,15.9454,-0.04816891,-0.007001985,15.33656,6.245019,3,1.277897,1
151,24.09484,206.565,0.01650895,0.00831649,5.222766,3.72398,3,1.289917,0
102,58.24314,248.1986,0.05843179,0.05467185,12.84875,2.171628,3,1.302401,1
66,33.85452,116.565,0.03949005,-0.01471283,6.49679,2.389434,2,1.341117,0
303,19.82703,146.3099,0.01339106,0.008794,2.531691,3.203968,3,1.287943,0
60,19.82703,56.30993,-0.006368313,-0.01287729,6.424214,6.179314,5,1.354132,0
121,29.49621,135,-0.01074525,-0.01684264,7.749713,4.244368,3,1.305816,0
432,36.05503,105.9454,0.02762438,0.01651136,8.489456,3.287946,3,1.31712,0
252,47.84365,95.19443,-0.006377947,0.003616717,13.34396,3.632435,3,1.302604,1
335,40.51059,339.444,-0.01072133,-0.003077497,11.37731,3.950571,3,1.332029,1
276,31.31116,170.5377,0.02089764,-0.00434491,8.155032,4.075665,3,1.335683,0
31,50.57997,170.5377,0.01969576,0.03817381,9.486971,1.562187,3,1.308442,0
542,40.51059,69.44395,0.1053781,-0.000544104,8.84334,2.69079,3,1.362973,1
266,22.40687,104.0362,0.02441627,0.005923084,5.215992,4.244655,5,1.323459,1
51,21.80141,270,0.02122313,0.006362928,5.226003,4.453687,3,1.283395,0
300,11.30993,270,-0.007453071,-0.02290338,3.526221,7.330292,3,1.301521,1
345,30.96376,270,-0.009923208,0.01820202,6.408251,2.949357,3,1.284166,1
485,19.82703,236.3099,-0.02178001,-0.005810318,6.698432,6.38831,3,1.319219,0
327,29.49621,45,0.007167669,-0.00717011,7.470906,4.06117,3,1.332843,1
176,31.31116,99.46232,-0.01297218,-0.02288963,9.876168,5.033112,3,1.316936,1
77,28.3032,291.8014,-0.002599928,-0.000150927,6.90121,3.959007,3,1.29766,1
476,42.67464,49.3987,-0.02728996,-0.00581795,12.67537,4.13801,3,1.328524,1
148,36.05503,74.0546,1.89E-05,0.01101747,11.75438,4.914952,3,1.334675,1
169,48.18969,333.4349,-0.04432339,-0.04671055,14.71867,4.075225,3,1.298893,1
270,42.16205,6.340192,-0.04176796,-0.007887798,13.84525,4.661026,5,1.304354,1
238,19.82703,326.3099,-0.01854148,-0.006287619,5.340315,5.255366,3,1.366484,0
213,39.50971,255.9638,-0.000786564,0.000785343,11.08271,3.990152,3,1.285642,1
624,24.09484,333.4349,0.01828051,-0.01000414,6.708928,4.97604,3,1.345097,0
85,8.049467,225,-0.04160492,0.008520199,0.000621942,14.16591,3,1.295875,0
270,37.99073,39.80557,-0.02166643,-0.01971053,11.25055,4.334365,3,1.331169,1
106,17.5484,288.4349,0.00103488,0.001723909,4.566162,5.368725,3,1.279782,0
104,19.82703,123.6901,0.02044621,-0.001136521,4.039001,3.85893,2,1.233864,0
384,26.56505,53.1301,0.009823355,0.001214243,6.855627,4.380077,3,1.368994,1
356,38.65981,360,-0.03182324,-0.001279791,14.93995,5.63244,3,1.328384,0
398,12.60438,243.435,-0.03026362,-0.01939702,6.197593,10.16957,5,1.328766,0
234,32.63194,51.34019,-0.01556222,-0.01202445,8.187132,3.803885,2,1.269472,0
286,26.56505,90,-0.01883271,0.002279971,8.248706,5.30501,3,1.330603,0
518,30.96376,180,-0.01109639,-0.01924541,8.528834,4.378688,3,1.333285,0
309,19.82703,33.69007,0.003400052,0.004844577,3.763408,3.505567,3,1.289442,0
596,38.87666,29.74488,0.04659645,0.01408227,9.379479,3.266484,3,1.345562,0
447,16.69924,270,0.02217446,0.01630942,1.92301,4.314673,2,1.297621,0
179,32.31153,341.5651,-0.06994373,-0.03212536,10.73567,5.228393,3,1.31431,0
76,11.30993,180,0.006451413,0.04879883,2.636256,2.974472,3,1.287805,0
300,22.40687,75.96375,-0.01163557,-0.004914722,5.194844,4.22434,3,1.315569,0
66,31.31116,80.53768,0.01103516,-0.002757874,8.896406,4.510726,3,1.354533,1
310,22.98977,45,0.004130174,-0.02050225,6.313836,6.113738,5,1.329651,0
137,36.05503,285.9454,-0.04779616,0.000899185,16.43789,6.591768,5,1.294297,1
349,12.60438,26.56505,0.01139057,0.005159719,4.199111,7.397835,5,1.326529,0
167,39.50971,255.9638,-0.03249365,-0.01991846,14.35486,5.283664,3,1.276516,0
237,32.31153,251.565,-0.00733828,-0.003696876,9.881336,4.813771,3,1.359513,0
66,15.79317,45,0.005102681,0.005926372,4.244406,5.780522,5,1.302373,0
417,45,180,0.01093111,0.01389799,13.32155,4.03055,3,1.328895,1
12,37.99073,230.1944,-0.02476227,-0.03927703,8.58768,2.983923,1,1.285062,0
113,15.79317,225,0.01152073,-0.005954324,1.402256,5.275757,5,1.360773,0
429,37.29208,66.80141,-0.01585221,-0.000698086,10.93555,4.320361,3,1.326009,1
448,42.67464,192.5288,0.02509183,0.008008755,11.91796,3.82994,3,1.363436,0
537,19.82703,213.6901,-0.02286086,-0.004727034,5.655119,5.541749,3,1.365119,0
158,31.31116,170.5377,-0.02206921,-0.005515021,9.01436,4.576583,3,1.360276,0
254,19.82703,123.6901,0.02376078,0.0231362,5.248868,5.169005,5,1.328454,0
330,26.56505,180,-0.02098102,-0.001086854,8.257458,5.310312,5,1.337815,1
303,33.85452,296.5651,0.0222717,-0.000203828,9.104836,4.076921,3,1.337864,0
301,27.01712,348.6901,0.004547071,0.04511357,5.157932,2.836225,2,1.361437,0
437,42.67464,229.3987,0.06712194,0.03770472,8.970412,2.409365,3,1.313611,1
115,30.24626,300.9637,0.02228097,0.002547516,7.538846,3.927965,3,1.284453,0
327,32.63194,128.6598,-0.02022607,-0.004600593,7.627346,3.449767,3,1.283974,0
142,35.26439,315,3.15E-06,-0.03861888,12.61339,5.421766,3,1.332734,1
133,45.56176,281.3099,0.03920717,0.02148375,10.42196,2.720491,1,1.256887,0
362,44.56372,246.0375,0.04451958,0.002382278,7.76952,1.39978,3,1.328581,0
119,12.60438,116.565,0.0252339,0.04097643,1.306793,4.915831,3,1.314943,0
117,45.14253,264.2894,-0.02023188,-0.007438404,7.599773,2.216793,5,1.313959,0
52,12.60438,116.565,0.01642848,0.01115728,3.524998,6.522871,3,1.171999,0
384,22.98977,45,0.02267749,0.004905519,5.435481,4.264063,3,1.296898,0
207,48.18969,116.565,-0.09008986,0.01836378,26.15543,6.949927,3,1.300053,1
74,33.85452,116.565,-0.000948867,-0.001846543,9.653228,4.369354,3,1.295484,0
156,27.01712,258.6901,-0.02775529,-0.002587723,11.44701,6.822189,5,1.339798,0
53,12.60438,153.435,-0.005148608,0.02179595,2.791579,2.881195,5,1.300553,0
274,37.29208,23.19859,-0.02179484,-0.03613729,9.300283,3.510489,5,1.367688,1
238,12.60438,116.565,0.005199656,0.01141045,3.922723,4.587251,1,1.338721,0
18,26.56505,180,-0.00629735,-0.01304461,4.51605,3.733273,5,1.2754,0
307,32.31153,71.56505,-0.07542169,0.006456844,10.32952,5.035563,3,1.306815,1
141,24.09484,26.56505,-0.02220327,-0.01090098,8.740708,6.2988,2,1.335727,0
610,28.3032,158.1986,-0.01195708,-0.01010347,8.637718,5.081215,5,1.340281,0
99,11.30993,90,-0.002670667,-0.005719225,0.6702613,4.171258,5,1.334255,0
171,35.79576,213.6901,-0.003487023,-0.01306083,8.894091,3.570875,3,1.319044,1
53,8.049467,45,-0.004014427,0.00414138,0.9330518,3.218876,5,1.31427,0
171,32.31153,161.565,-0.002001416,0.01027534,7.487076,3.426424,3,1.293548,1
25,37.29208,66.80141,0.002785573,-0.0275335,5.190378,3.0175,3,1.308101,0
467,15.79317,135,-0.003224768,0.01977506,3.20364,4.373951,3,1.316951,1
627,24.09484,243.435,0.08262614,0.0415096,4.340093,2.798323,3,1.358986,1
30,12.60438,153.435,0.04419094,0.008131605,1.717302,2.927245,3,1.162819,0
278,24.09484,153.435,0.01399326,0.01082852,5.355111,3.849101,3,1.297918,0
79,34.99202,360,-0.003108193,0.000350624,11.61948,5.065409,2,1.312981,0
27,54.86988,320.7106,-0.008685788,-0.002348453,15.71819,3.56047,7,1.304292,0
232,24.09484,116.565,-0.01320779,-0.008862527,6.536025,4.84549,3,1.305418,0
35,19.82703,213.6901,-0.0273834,-0.03330264,3.161173,5.990894,2,1.287703,1
151,17.5484,341.5651,0.003078404,-0.0113682,4.177242,4.923615,1,1.271795,0
74,30.24626,329.0363,0.01020573,0.000830038,8.91567,4.766672,2,1.362335,0
338,22.98977,225,0.04039497,0.02580621,4.114478,2.871883,3,1.304405,1
65,40.70319,324.4623,-0.03002864,-0.03617895,12.35923,4.332192,3,1.337321,1
187,33.85452,153.435,0.01601448,0.008810958,7.583532,3.162788,3,1.305265,1
196,30.24626,149.0362,0.0123371,0.01524957,6.877152,3.468643,2,1.300255,1
257,37.29208,203.1986,0.005699347,-0.000178107,10.18706,3.965858,2,1.229916,0
55,27.01712,11.30993,-0.004397411,0.001638928,7.327607,4.591791,1,1.287439,0
197,30.24626,120.9638,0.0285738,0.01832073,7.86475,4.139574,3,1.338772,0
357,35.26439,171.8699,0.0321262,0.03132106,8.355556,3.362604,3,1.316993,1
287,19.82703,303.6901,-0.01351794,-0.0113136,5.299827,5.217314,3,1.304837,1
297,35.26439,278.1301,-0.02624113,-0.01237947,9.645885,4.080627,3,1.28978,1
161,12.60438,153.435,0.07317205,0.06751521,2.350449,4.496502,3,1.299393,0
273,30.24626,149.0362,-0.0443784,-0.01079738,10.38857,5.531152,2,1.359351,0
109,28.3032,291.8014,-0.00518236,-0.008609755,8.915065,5.239236,1,1.286782,0
24,46.23402,286.6992,0.03170495,0.04277778,10.26061,2.545088,3,1.274062,0
335,37.99073,129.8056,-0.01993457,0.03372119,14.04771,5.444575,3,1.300204,1
57,5.710593,360,0.01754571,0.0817652,0.641387,3.912023,2,1.272779,0
134,22.40687,345.9637,-0.0684423,-0.03640389,8.641995,6.769176,3,1.277914,0
189,40.51059,339.444,0.01645547,-0.00818765,13.00428,4.618861,3,1.337963,0
369,11.30993,180,0.05094409,0.006988043,1.892462,4.218554,3,1.297963,0
162,22.98977,225,0.004127244,0.001390334,6.348433,5.040363,5,1.149292,0
330,27.01712,78.69007,0.02486184,0.02478904,5.87345,3.485757,3,1.341767,0
178,24.09484,63.43495,0.006169318,0.007624627,6.620783,4.909913,2,1.300699,0
208,30.96376,180,-0.004835137,0.01862786,7.59357,3.797934,2,1.248853,0
45,27.01712,258.6901,0.0161737,0.008654178,6.872962,4.271522,2,1.326445,0
186,32.31153,341.5651,0.02935708,0.006505955,8.113024,3.827885,3,1.279756,0
105,52.75478,278.7462,-0.01352547,-0.008542396,15.45374,3.728687,2,1.255168,0
121,8.049467,315,-0.02027013,-0.004557142,2.766394,8.653075,3,1.123093,0
220,15.79317,135,0.01884634,-0.005069486,3.103533,4.215219,5,1.322018,0
57,26.56505,323.1301,-0.01321472,-0.006095885,10.49893,6.511095,5,1.331771,0
60,17.5484,71.56505,-0.0210038,-0.006571882,7.032593,7.528137,2,1.256502,0
67,37.29208,23.19859,-0.01804641,0.004254911,10.13354,3.939521,3,1.282139,1
191,33.85452,63.43495,-0.01788282,0.01236524,9.980286,4.535951,2,1.266605,1
39,22.40687,284.0363,-0.006069683,0.003310589,7.627291,6.144672,3,1.366593,0
71,24.09484,206.565,-0.02144518,-0.008900284,6.229019,4.604939,2,1.097454,0
31,28.3032,68.19859,-0.000246027,0.000303248,10.79084,5.250431,1,1.29023,0
85,31.31116,279.4623,0.02524482,0.02165154,6.256982,2.750979,3,1.309795,1
130,17.5484,288.4349,-0.01374241,-0.00561062,5.704712,6.481822,5,1.300396,0
236,38.87666,60.25512,-0.007136239,0.01265382,10.69837,3.924318,3,1.278365,1
315,41.81031,206.565,-0.005077846,-0.000439732,10.06238,3.122021,3,1.280816,1
280,28.3032,21.80141,0.03003282,0.005826555,6.649959,3.773577,2,1.334867,0
54,37.29208,246.8014,-0.01302888,0.007506423,9.249099,3.482896,1,1.28877,0
221,33.85452,116.565,-0.01891126,0.005119754,11.80911,5.377248,1,1.269194,0
401,26.56505,126.8699,0.01520572,-0.004173005,5.773012,3.520697,3,1.328111,1
44,11.30993,270,0.02217458,0.03852336,1.549517,3.218876,5,1.342256,0
204,45,126.8699,-0.008609776,-0.007939296,11.47601,3.284928,3,1.332543,1
18,12.60438,26.56505,0.008677619,-0.02517206,2.817332,5.402423,5,1.224631,0
150,35.26439,81.8699,0.03407241,0.0238585,7.849372,3.050139,3,1.334974,1
219,30.24626,210.9638,0.0193388,0.01376667,6.273023,3.008911,2,1.320805,0
156,19.82703,56.30993,-0.04204255,-0.0214035,5.791615,5.660999,5,1.338824,1
92,35.26439,225,-0.0083662,-0.01094349,8.570037,3.489331,3,1.350082,1
149,17.5484,288.4349,-0.004946396,-0.003331192,4.724701,5.539381,1,1.282375,0
357,29.49621,45,-0.004905426,-0.02543393,7.299952,3.945428,2,1.280007,0
47,52.43141,247.3801,-0.01135365,-0.03008617,19.04087,4.812122,5,1.309906,0
424,32.63194,51.34019,-0.009472533,-0.01260022,9.276137,4.428293,3,1.327527,1
76,15.79317,135,-0.004668013,-0.01169979,0.002764519,8.52887,5,1.358934,0
377,29.49621,225,-0.003193698,0.000434909,8.856268,4.911716,3,1.311465,0
302,22.40687,165.9638,-0.02832372,0.003492177,7.819812,6.26931,3,1.340398,1
287,17.5484,161.565,0.01250505,0.001291342,3.474302,4.002327,3,1.299926,0
567,29.49621,45,-0.006890893,-0.009661841,6.426118,3.307942,3,1.324526,0
33,12.60438,26.56505,0.000478311,-0.000466714,1.863894,6.687592,5,1.362405,0
261,37.99073,129.8056,-0.04511547,-0.0128191,9.859484,3.674449,5,1.337467,0
291,21.80141,360,-0.002758726,-0.002758852,7.55728,6.298009,3,1.312841,1
224,28.3032,291.8014,0.007236931,-0.004479363,7.375968,4.291659,3,1.313985,1
26,26.56505,360,-0.005517273,0.03862061,6.47284,4.092803,2,1.267269,0
450,26.56505,270,-0.000549251,-0.01599616,7.194278,4.621158,3,1.319729,1
127,36.05503,254.0546,-0.03326326,0.06356294,8.590536,3.347127,3,1.299721,1
101,17.5484,198.435,0.01380364,0.01663337,2.610016,5.043747,5,1.360255,1
466,35.26439,8.130102,0.02006797,-0.009025487,24.70397,8.78279,3,1.370636,0
107,22.40687,345.9637,0.01135499,0.005197742,7.552815,6.095609,2,1.365951,0
404,37.99073,309.8056,0.01091678,0.005635955,9.979606,3.734998,3,1.280798,0
58,19.82703,326.3099,0.02678944,-0.0157549,4.110751,3.946972,1,1.3146,0
274,27.01712,281.3099,-0.01393136,-0.0108953,9.039921,5.641798,3,1.28899,0
361,8.049467,135,-0.02831868,-0.004706225,3.750211,7.630919,5,1.353953,0
178,11.30993,270,0.002724546,0.02770636,3.525367,7.313112,1,1.310817,0
75,27.01712,258.6901,-0.008077423,-0.005714691,10.6382,6.455801,3,1.261238,0
53,19.82703,123.6901,0.004592222,0.00914374,3.638504,3.336806,1,1.289634,0
352,40.51059,249.444,-0.007174746,0.007179628,10.13238,3.37115,3,1.315986,0
248,17.5484,198.435,0.02111264,-0.001799897,3.830329,4.490113,3,1.295679,0
179,31.31116,189.4623,-0.009417695,0.00388913,6.417425,3.931488,3,1.302387,0
409,30.24626,30.96376,0.02598782,0.001595187,8.511134,4.534496,3,1.329024,0
543,26.56505,360,0.01584283,-0.002044003,6.304402,3.960968,3,1.327983,0
112,29.49621,135,0.007533017,-0.007533628,6.986012,3.725638,3,1.299051,0
312,35.26439,315,0.01105497,-0.00278104,9.928409,4.224972,3,1.357539,0
72,40.51059,339.444,-0.01050698,-0.05298545,10.32687,3.466212,2,1.106243,0
527,32.31153,251.565,-0.003953208,-0.007072183,8.105439,3.823209,5,1.334361,1
291,32.31153,341.5651,-0.00948961,0.006725938,12.38823,5.944267,3,1.367569,0
274,32.63194,51.34019,0.03898481,0.002392145,7.265579,3.206807,3,1.328052,0
714,24.09484,26.56505,-0.0090719,-0.004707397,6.146613,4.538351,3,1.347031,0
259,29.49621,315,0.01092914,0.005626035,8.097514,4.463875,3,1.367751,1
191,32.31153,108.435,0.01389559,0.01371305,8.078572,3.806608,2,1.265465,0
51,33.85452,206.565,-0.02617885,-0.006924788,10.38475,4.734585,2,1.346531,1
232,35.26439,315,0.006489868,0.01557678,11.47314,4.948016,3,1.329346,1
228,38.65981,270,0.05189014,0.006023681,8.583677,2.861558,3,1.30096,1
362,12.60438,333.4349,0.01290067,-0.004629189,2.090026,3.909355,3,1.290619,0
118,15.79317,315,0.0167504,0.008071379,2.720148,3.555943,3,1.35546,0
60,28.3032,338.1986,-0.008907927,-0.01042099,7.531986,4.396317,3,1.275868,0
45,27.01712,281.3099,0.01203538,0.0127925,9.119682,5.685721,3,1.295774,0
206,40.31554,225,-0.04228226,0.003659214,10.97121,3.801725,3,1.292503,0
212,27.01712,281.3099,0.000885806,-0.000885806,7.473084,4.697194,3,1.291935,0
462,38.87666,209.7449,0.008019553,0.03612107,9.024843,3.073769,3,1.309863,1
363,31.31116,260.5377,-0.009925651,-0.02041615,8.408623,4.228777,3,1.344215,1
225,19.82703,56.30993,0.01751068,0.01559113,3.716015,3.442202,2,1.147441,0
314,28.3032,248.1986,-0.01697422,-0.01336758,7.440742,4.335376,3,1.304289,1
700,35.26439,188.1301,-0.004193306,-0.01235943,10.46159,4.486521,3,1.334571,0
463,45.56176,191.3099,-0.0200273,0.000720657,16.0892,4.891656,3,1.31075,1
685,30.24626,30.96376,0.006769262,-0.001261449,8.149256,4.317253,5,1.347973,0
358,22.98977,315,-0.01834998,0.001797248,6.311804,5.011431,3,1.28659,0
174,26.56505,216.8699,-0.01165966,-0.01041187,7.268696,4.672612,3,1.298115,0
475,31.31116,9.462322,-0.02953519,0.0184976,8.537081,4.304585,3,1.318852,1
86,27.01712,78.69007,-0.007937885,-0.01964818,7.252803,4.540486,3,1.307884,0
194,27.01712,191.3099,0.008558956,-0.003049922,7.428381,4.660087,2,1.33493,1
100,17.5484,251.565,-0.008026809,-0.003008348,8.241458,8.321246,5,1.34268,0
521,48.74736,285.2551,0.0606441,-0.008231994,13.83577,3.690284,3,1.315368,0
138,27.01712,78.69007,0.03746795,0.006670237,5.839471,3.456748,2,1.336039,1
201,31.31116,9.462322,-0.001246967,-0.01806578,8.306719,4.167812,3,1.333055,1
28,17.5484,71.56505,0.007430087,-0.01294751,3.593953,4.171623,1,1.270266,0
155,19.82703,123.6901,0.01540552,0.01216162,3.37923,2.967182,5,1.361352,0
278,60.98286,19.44003,-0.0482114,-0.06765042,20.81781,4.292482,3,1.351524,0
318,34.99202,270,-0.01622527,-0.008603834,11.33315,4.940654,3,1.368228,0
143,5.710593,270,-0.03273128,-0.000335121,2.88638,6.305979,2,1.325215,0
120,26.56505,143.1301,-0.03553428,-0.008603908,8.870901,5.66861,2,1.313189,0
40,12.60438,243.435,-0.007555782,-0.006394413,2.219816,2.523421,5,1.356538,1
98,17.5484,108.435,-0.0634946,-0.008225366,5.618721,6.40588,2,1.099287,0
432,30.24626,120.9638,0.009374197,0.004419749,7.0991,3.62746,3,1.333104,0
90,33.85452,206.565,-0.03631696,-0.01057879,9.39519,4.233882,2,1.327244,1
190,30.24626,329.0363,0.0325971,0.008779851,6.272159,3.008223,2,1.362222,0
